timestamp,ETHUSDT_price,BNBUSDT_price,XRPUSDT_price,ADAUSDT_price,SOLUSDT_price,BTCUSDT_price,ETHUSDT_funding_rate,BNBUSDT_funding_rate,XRPUSDT_funding_rate,ADAUSDT_funding_rate,SOLUSDT_funding_rate,BTCUSDT_funding_rate
2023-01-01 00:00:00+00:00,1195.06,244.0,0.3368,0.2452,9.8,16526.19,0.0001,-1.05e-05,0.0001,-7.036e-05,-0.00092452,0.0001
2023-01-01 16:00:00+00:00,1200.34,244.4,0.3387,0.2499,9.99,16616.75,0.0001,0.0,0.0001,-0.00028022,-0.00097445,6.91e-06
2023-01-02 00:00:00+00:00,1213.09,246.4,0.3378,0.2541,11.09,16721.28,0.0001,0.0,0.0001,-0.00013088,-0.00105604,-1.488e-05
2023-01-03 16:00:00+00:00,1214.55,246.1,0.3436,0.2529,13.37,16675.18,2.948e-05,0.0,0.0001,-1.873e-05,-0.00820119,3.322e-05
2023-01-04 00:00:00+00:00,1252.0,255.3,0.3498,0.2656,14.16,16869.44,7.609e-05,0.0,-0.00015714,9.699e-05,-0.00349905,6.489e-05
2023-01-05 16:00:00+00:00,1251.24,256.7,0.338,0.2692,13.43,16831.85,0.0001,-0.00034445,4.332e-05,0.0001,-0.00035808,7.264e-05
2023-01-06 16:00:00+00:00,1269.14,259.9,0.3443,0.2786,13.5,16950.65,0.0001,-0.00021562,0.0001,0.0001,-0.00097063,8.658e-05
2023-01-07 16:00:00+00:00,1264.07,261.3,0.3442,0.2768,13.1,16943.57,7.19e-05,-0.00023691,0.0001,1.35e-05,-0.00049317,0.0001
2023-01-08 08:00:00+00:00,1274.25,267.0,0.343,0.288,13.88,17000.43,8.826e-05,-0.00011035,0.0001,0.0001,-0.00041686,0.0001
2023-01-09 08:00:00+00:00,1335.68,280.3,0.3553,0.3207,17.13,17268.49,7.617e-05,0.0,0.0001,0.0001,0.0001,-6.66e-06
2023-01-10 16:00:00+00:00,1335.62,277.1,0.3507,0.3222,16.2,17440.66,0.0001,-1.944e-05,0.0001,0.0001,-0.00015347,3.129e-05
2023-01-12 00:00:00+00:00,1398.45,285.1,0.3734,0.3247,16.25,18138.22,0.0001,-7.73e-06,0.0001,0.0001,0.0001,7.549e-05
2023-01-12 08:00:00+00:00,1386.07,281.6,0.3673,0.3223,15.96,18086.62,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
2023-01-12 16:00:00+00:00,1415.92,287.7,0.3748,0.3293,16.59,18846.62,0.0001,0.0,0.0001,0.0001,-0.00044772,0.0001
2023-01-13 08:00:00+00:00,1421.98,288.8,0.374,0.332,16.81,19261.19,0.0001,-0.00013437,0.0001,0.0001,2.603e-05,0.0001
2023-01-14 00:00:00+00:00,1553.43,310.8,0.404,0.3634,23.57,20897.36,0.0001,0.0,0.0001,0.0001,0.0001,8.746e-05
2023-01-14 16:00:00+00:00,1549.9,305.1,0.3953,0.3525,24.24,20954.92,0.00045951,0.0001184,0.0001,0.0001,0.0001,0.0001
2023-01-15 16:00:00+00:00,1552.52,302.2,0.3845,0.3507,22.89,20871.5,0.00018878,0.0,0.0001,0.0001,0.00012309,0.00019892
2023-01-16 16:00:00+00:00,1576.94,299.0,0.3855,0.3504,23.58,21185.65,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
2023-01-19 00:00:00+00:00,1528.65,290.4,0.3841,0.3307,21.3,20818.95,0.0001,-9.679e-05,0.0001,0.0001,0.0001,0.0001
2023-01-20 00:00:00+00:00,1550.33,288.1,0.3883,0.3354,21.07,20959.44,0.0001,-7.95e-06,0.0001,0.0001,0.0001,0.0001
2023-01-20 08:00:00+00:00,1563.69,289.6,0.3928,0.3413,21.42,21144.77,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
2023-01-20 16:00:00+00:00,1658.52,305.1,0.4129,0.3652,25.51,22667.21,0.0001,0.0,-2.67e-05,0.0001,0.0001,0.0001
2023-01-22 00:00:00+00:00,1627.08,302.3,0.4046,0.3733,25.13,22895.2,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
2023-01-22 08:00:00+00:00,1635.51,303.4,0.4056,0.3806,24.97,22794.51,0.0001,0.00015982,0.0001,0.0001,0.0001,0.0001
2023-01-24 16:00:00+00:00,1555.97,300.3,0.4078,0.3587,22.78,22632.89,0.0001,0.00017116,0.0001,0.0001,0.0001,0.0001
2023-01-25 08:00:00+00:00,1543.95,300.2,0.4059,0.3552,23.32,22577.86,0.0001,0.0,0.0001,6.88e-06,1.239e-05,0.0001
2023-01-27 08:00:00+00:00,1574.86,303.8,0.4062,0.3784,23.83,22933.96,0.0001,0.0,0.0001,0.0001,0.0001,9.541e-05
2023-01-27 16:00:00+00:00,1597.62,308.0,0.4128,0.3898,24.43,23074.16,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
2023-01-29 08:00:00+00:00,1611.44,318.4,0.412,0.3889,24.69,23525.09,0.0001,0.0,0.0001,0.0001,0.0001,0.0001
